Subfamily,Genus,Genus.Species,caste,colony_size,cs_source,cs_notes,nesting_strata,diet,status,morphism,notes_biology
Myrmicinae,Pheidole,Pheidole.floridana,major,1000,"Deyrup, King",,Ground,Omnivore,Native,Polymorphic,
Myrmicinae,Pheidole,Pheidole.floridana,worker,1000,"Deyrup, King",,Ground,Omnivore,Native,Polymorphic,
Myrmicinae,Pheidole,Pheidole.lamia,major,1200,Deyrup,,Ground,Omnivore,Native,Polymorphic,
Myrmicinae,Pheidole,Pheidole.lamia,worker,1200,Deyrup,,Ground,Omnivore,Native,Polymorphic,
Myrmicinae,Pheidole,Pheidole.littoralis,major,,,,Ground,Omnivore,Native,Polymorphic,
Myrmicinae,Pheidole,Pheidole.littoralis,worker,,,,Ground,Omnivore,Native,Polymorphic,
Myrmicinae,Pheidole,Pheidole.megacephala,major,,,,Ground,Omnivore,Nonnative,Polymorphic,
Myrmicinae,Pheidole,Pheidole.megacephala,worker,,,,Ground,Omnivore,Nonnative,Polymorphic,
Myrmicinae,Pheidole,Pheidole.metallescens,major,534,Deyrup,,Ground,Omnivore,Native,Polymorphic,
Myrmicinae,Pheidole,Pheidole.metallescens,major,1000,King,,Ground,Omnivore,Native,Polymorphic,
Myrmicinae,Pheidole,Pheidole.metallescens,worker,534,Deyrup,,Ground,Omnivore,Native,Polymorphic,
Myrmicinae,Pheidole,Pheidole.metallescens,worker,1000,King,,Ground,Omnivore,Native,Polymorphic,
Myrmicinae,Pheidole,Pheidole.navigans,major,600,King,,Ground,Omnivore,Nonnative,Polymorphic,
Myrmicinae,Pheidole,Pheidole.navigans,worker,600,King,,Ground,Omnivore,Nonnative,Polymorphic,
Myrmicinae,Pheidole,Pheidole.morrisii,major,2500,"Burchill, King",,Ground,Omnivore,Native,Polymorphic,
Myrmicinae,Pheidole,Pheidole.morrisii,worker,2500,"Burchill, King",,Ground,Omnivore,Native,Polymorphic,
Myrmicinae,Pheidole,Pheidole.obscurithorax,major,10000,Deyrup,,Ground,Omnivore,Nonnative,Polymorphic,
Myrmicinae,Pheidole,Pheidole.obscurithorax,worker,10000,Deyrup,,Ground,Omnivore,Nonnative,Polymorphic,
Myrmicinae,Pheidole,Pheidole.sp.,worker,,,,,,,Polymorphic,
Myrmicinae,Pheidole,Pheidole.tysoni,major,,,,Ground,Omnivore,Native,Polymorphic,
Myrmicinae,Pheidole,Pheidole.tysoni,worker,,,,Ground,Omnivore,Native,Polymorphic,
Ponerinae,Platythyrea,Platythyrea.punctata,worker,60,King,,Mixed,Predator,Nonnative,Monomorphic,
