SPECIES,CASENT,HW,HL,ML,EL,WL
Dorymyrmex flavus,FMNHINS0000045102,0.973,1.059,0.485,0.255,1.414
Dorymyrmex grandulus,casent0911036,0.688,0.816,0.414,0.2215,1.156
Dorymyrmex grandulus,casent0103878,0.6135,0.76,0.1125,0.1845,1.0775
Dorymyrmex insanus,CASENT0005319,0.8,0.871,0.409,0.1805,0.458
Dorymyrmex insanus,CASENT0102753,0.735,0.836,0.425,0.2555,1.062
Dorymyrmex insanus,CASENT0179520,0.718,0.788,0.391,0.2265,1.094
Dorymyrmex insanus,CASENT0249672,0.705,0.8,0.422,0.2335,1.057
Dorymyrmex insanus,CASENT0732617,0.692,0.79,0.335,0.2045,1.018
Dorymyrmex reginicula,casent0103900,0.878,0.954,0.1295,0.265,1.303
Dorymyrmex smithi,CASENT0103445,0.913,0.94,0.463,0.261,1.166
Eurhopalothrix floridana,casent0006100,0.625,0.577,0.195,0.043,0.71
Eurhopalothrix floridana,casent0914898,0.655,0.597,0.206,0.0425,0.74
Eurhopalothrix floridana,fmnhins0000047628,0.61,0.596,0.184,0.038,0.7
Eurhopalothrix floridana,casent0003195,0.607,0.557,0.143,0.0405,0.654
Forelius mccooki,CASENT0005322,0.796,0.946,0.411,0.1735,0.67
Forelius mccooki,CASENT0102754,0.523,0.611,0.264,0.1445,0.74
Forelius mccooki,CASENT0249692,0.489,0.575,0.288,0.142,0.717
Forelius mccooki,CASENT0909716,0.631,0.695,0.325,0.1805,1.05
Forelius mccooki,CASENT0922449,0.478,0.566,NA,0.1375,0.694
Forelius pruinosus,casent0103912,0.512,0.585,0.268,0.146,0.782
Forelius pruinosus,casent0249696,0.623,0.654,0.356,0.1655,0.931
Forelius pruinosus,casent0915583,0.606,0.687,0.353,0.143,0.792
Forelius pruinosus,fmnhins0000062863,0.515,0.594,0.286,0.1415,0.741
Forelius pruinosus,casent0249695,0.489,0.57,0.059,0.126,0.7235
Formica archboldi,casent0103921,1.317,1.659,0.753,0.5225,2.749
Formica archboldi,casent0105592,1.274,1.589,0.842,0.4805,2.634
Formica archboldi,casent0104886,1.129,1.44,0.252,0.4135,2.3745
Formica argentea,ANTWEB1041662,1.393,1.539,0.731,0.561,2.448
Formica argentea,CASENT0005361,1.457,1.628,0.701,0.5275,2.389
Formica argentea,CASENT0102159,1.549,1.636,0.674,0.576,2.529
